"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Демонстрационный тест","Верный ответ","0","0","2","0","0"
"","Демонстрационный тест","Неверный ответ","0","0","2","0","0"
