"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 11:22:18 GMT 2022","Tue Sep 06 11:22:54 GMT 2022","35891","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Tue Sep 06 11:22:54 GMT 2022","Tue Sep 06 11:23:28 GMT 2022","33720","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Tue Sep 06 11:22:18 GMT 2022","Tue Sep 06 11:22:54 GMT 2022","35793","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Tue Sep 06 11:22:54 GMT 2022","Tue Sep 06 11:23:33 GMT 2022","39365","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
