"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 10:45:14 GMT 2022","Tue Sep 06 10:45:44 GMT 2022","29800","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Tue Sep 06 10:45:14 GMT 2022","Tue Sep 06 10:45:48 GMT 2022","33988","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Tue Sep 06 10:45:48 GMT 2022","Tue Sep 06 10:46:33 GMT 2022","45345","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Tue Sep 06 10:45:48 GMT 2022","Tue Sep 06 10:46:23 GMT 2022","34750","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
