"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 10:50:43 GMT 2022","Tue Sep 06 10:51:17 GMT 2022","34299","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Tue Sep 06 10:51:19 GMT 2022","Tue Sep 06 10:51:58 GMT 2022","39306","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Tue Sep 06 10:50:43 GMT 2022","Tue Sep 06 10:51:19 GMT 2022","36174","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Tue Sep 06 10:51:19 GMT 2022","Tue Sep 06 10:52:00 GMT 2022","41287","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
