"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 15:07:53 GMT 2022","Mon Sep 19 15:09:36 GMT 2022","103007","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Mon Sep 19 15:07:16 GMT 2022","Mon Sep 19 15:07:51 GMT 2022","35077","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Mon Sep 19 15:07:16 GMT 2022","Mon Sep 19 15:07:53 GMT 2022","37100","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Mon Sep 19 15:07:53 GMT 2022","Mon Sep 19 15:14:35 GMT 2022","401734","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
