"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 27 15:09:04 GMT 2023","Mon Feb 27 15:09:07 GMT 2023","2519","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Mon Feb 27 15:08:59 GMT 2023","Mon Feb 27 15:09:04 GMT 2023","4931","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"skipped","Mon Feb 27 15:08:59 GMT 2023","Mon Feb 27 15:09:04 GMT 2023","4817","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Mon Feb 27 15:09:04 GMT 2023","Mon Feb 27 15:09:06 GMT 2023","1965","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
