"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 06 10:35:43 GMT 2022","Tue Sep 06 10:35:44 GMT 2022","728","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"skipped","Tue Sep 06 10:35:41 GMT 2022","Tue Sep 06 10:35:43 GMT 2022","2411","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Tue Sep 06 10:35:43 GMT 2022","Tue Sep 06 10:35:44 GMT 2022","693","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Tue Sep 06 10:35:41 GMT 2022","Tue Sep 06 10:35:43 GMT 2022","2313","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
