"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 07:45:24 GMT 2022","Wed Sep 07 07:46:01 GMT 2022","36766","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Wed Sep 07 07:44:47 GMT 2022","Wed Sep 07 07:45:24 GMT 2022","37469","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"passed","Wed Sep 07 07:45:24 GMT 2022","Wed Sep 07 07:46:01 GMT 2022","37015","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"passed","Wed Sep 07 07:44:47 GMT 2022","Wed Sep 07 07:45:24 GMT 2022","37141","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
