"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 06 10:58:46 GMT 2022","Tue Sep 06 10:58:48 GMT 2022","1963","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
"skipped","Tue Sep 06 10:58:48 GMT 2022","Tue Sep 06 10:58:49 GMT 2022","680","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Tue Sep 06 10:58:46 GMT 2022","Tue Sep 06 10:58:48 GMT 2022","2111","","Демонстрационный тест","","Неверный ответ","","Неверный ответ",""
"skipped","Tue Sep 06 10:58:48 GMT 2022","Tue Sep 06 10:58:49 GMT 2022","795","","Демонстрационный тест","","Верный ответ","","Верный ответ",""
